algorithm,map,best_max_speed,avg_lap_time_at_best,all_speeds_tested,pass_fail_summary
GapFollowPurePursuit,Austin,FAIL,,"{3.0: 'FAIL 0.00s', 3.5: 'FAIL 0.00s', 4.0: 'FAIL 0.00s', 4.5: 'FAIL 0.00s', 5.0: 'FAIL 0.00s', 5.5: 'FAIL 0.00s', 6.0: 'FAIL 0.00s', 6.5: 'FAIL 0.00s', 7.0: 'FAIL 0.00s', 7.5: 'FAIL 0.00s', 8.0: 'FAIL 0.00s', 8.5: 'FAIL 0.00s', 9.0: 'FAIL 0.00s', 9.5: 'FAIL 0.00s', 10.0: 'FAIL 0.00s', 10.5: 'FAIL 0.00s', 11.0: 'FAIL 0.00s', 11.5: 'FAIL 0.00s', 12.0: 'FAIL 0.00s', 12.5: 'FAIL 0.00s', 13.0: 'FAIL 0.00s', 13.5: 'FAIL 0.00s', 14.0: 'FAIL 0.00s', 14.5: 'FAIL 0.00s', 15.0: 'FAIL 0.00s', 15.5: 'FAIL 0.00s', 16.0: 'FAIL 0.00s', 16.5: 'FAIL 0.00s', 17.0: 'FAIL 0.00s', 17.5: 'FAIL 0.00s', 18.0: 'FAIL 0.00s', 18.5: 'FAIL 0.00s', 19.0: 'FAIL 0.00s', 19.5: 'FAIL 0.00s', 20.0: 'FAIL 0.00s'}","{3.0: 'FAIL', 3.5: 'FAIL', 4.0: 'FAIL', 4.5: 'FAIL', 5.0: 'FAIL', 5.5: 'FAIL', 6.0: 'FAIL', 6.5: 'FAIL', 7.0: 'FAIL', 7.5: 'FAIL', 8.0: 'FAIL', 8.5: 'FAIL', 9.0: 'FAIL', 9.5: 'FAIL', 10.0: 'FAIL', 10.5: 'FAIL', 11.0: 'FAIL', 11.5: 'FAIL', 12.0: 'FAIL', 12.5: 'FAIL', 13.0: 'FAIL', 13.5: 'FAIL', 14.0: 'FAIL', 14.5: 'FAIL', 15.0: 'FAIL', 15.5: 'FAIL', 16.0: 'FAIL', 16.5: 'FAIL', 17.0: 'FAIL', 17.5: 'FAIL', 18.0: 'FAIL', 18.5: 'FAIL', 19.0: 'FAIL', 19.5: 'FAIL', 20.0: 'FAIL'}"
GapFollowPurePursuit,BrandsHatch,11.0,48.003,"{3.0: 'FAIL 0.00s', 3.5: 'FAIL 0.00s', 4.0: 'FAIL 0.00s', 4.5: 'FAIL 0.00s', 5.0: 'FAIL 0.00s', 5.5: 'PASS 65.74s', 6.0: 'PASS 61.12s', 6.5: 'PASS 57.65s', 7.0: 'PASS 55.25s', 7.5: 'PASS 53.49s', 8.0: 'PASS 52.11s', 8.5: 'PASS 51.03s', 9.0: 'PASS 50.14s', 9.5: 'PASS 49.43s', 10.0: 'PASS 48.84s', 10.5: 'PASS 48.37s', 11.0: 'PASS 48.00s', 11.5: 'FAIL 0.00s', 12.0: 'FAIL 0.00s', 12.5: 'FAIL 0.00s', 13.0: 'FAIL 0.00s', 13.5: 'FAIL 0.00s', 14.0: 'FAIL 0.00s', 14.5: 'FAIL 0.00s', 15.0: 'FAIL 0.00s', 15.5: 'FAIL 0.00s', 16.0: 'FAIL 0.00s', 16.5: 'FAIL 0.00s', 17.0: 'FAIL 0.00s', 17.5: 'FAIL 0.00s', 18.0: 'FAIL 0.00s', 18.5: 'FAIL 0.00s', 19.0: 'FAIL 0.00s', 19.5: 'FAIL 0.00s', 20.0: 'FAIL 0.00s'}","{3.0: 'FAIL', 3.5: 'FAIL', 4.0: 'FAIL', 4.5: 'FAIL', 5.0: 'FAIL', 5.5: 'PASS', 6.0: 'PASS', 6.5: 'PASS', 7.0: 'PASS', 7.5: 'PASS', 8.0: 'PASS', 8.5: 'PASS', 9.0: 'PASS', 9.5: 'PASS', 10.0: 'PASS', 10.5: 'PASS', 11.0: 'PASS', 11.5: 'FAIL', 12.0: 'FAIL', 12.5: 'FAIL', 13.0: 'FAIL', 13.5: 'FAIL', 14.0: 'FAIL', 14.5: 'FAIL', 15.0: 'FAIL', 15.5: 'FAIL', 16.0: 'FAIL', 16.5: 'FAIL', 17.0: 'FAIL', 17.5: 'FAIL', 18.0: 'FAIL', 18.5: 'FAIL', 19.0: 'FAIL', 19.5: 'FAIL', 20.0: 'FAIL'}"
GapFollowPurePursuit,Budapest,12.0,57.540,"{3.0: 'FAIL 0.00s', 3.5: 'FAIL 0.00s', 4.0: 'FAIL 0.00s', 4.5: 'FAIL 0.00s', 5.0: 'FAIL 0.00s', 5.5: 'FAIL 0.00s', 6.0: 'FAIL 0.00s', 6.5: 'PASS 68.04s', 7.0: 'PASS 65.70s', 7.5: 'PASS 63.91s', 8.0: 'PASS 62.48s', 8.5: 'PASS 61.31s', 9.0: 'PASS 60.37s', 9.5: 'PASS 59.58s', 10.0: 'PASS 58.95s', 10.5: 'PASS 58.43s', 11.0: 'PASS 58.00s', 11.5: 'FAIL 0.00s', 12.0: 'PASS 57.54s', 12.5: 'FAIL 0.00s', 13.0: 'FAIL 0.00s', 13.5: 'FAIL 0.00s', 14.0: 'FAIL 0.00s', 14.5: 'FAIL 0.00s', 15.0: 'FAIL 0.00s', 15.5: 'FAIL 0.00s', 16.0: 'FAIL 0.00s', 16.5: 'FAIL 0.00s', 17.0: 'FAIL 0.00s', 17.5: 'FAIL 0.00s', 18.0: 'FAIL 0.00s', 18.5: 'FAIL 0.00s', 19.0: 'FAIL 0.00s', 19.5: 'FAIL 0.00s', 20.0: 'FAIL 0.00s'}","{3.0: 'FAIL', 3.5: 'FAIL', 4.0: 'FAIL', 4.5: 'FAIL', 5.0: 'FAIL', 5.5: 'FAIL', 6.0: 'FAIL', 6.5: 'PASS', 7.0: 'PASS', 7.5: 'PASS', 8.0: 'PASS', 8.5: 'PASS', 9.0: 'PASS', 9.5: 'PASS', 10.0: 'PASS', 10.5: 'PASS', 11.0: 'PASS', 11.5: 'FAIL', 12.0: 'PASS', 12.5: 'FAIL', 13.0: 'FAIL', 13.5: 'FAIL', 14.0: 'FAIL', 14.5: 'FAIL', 15.0: 'FAIL', 15.5: 'FAIL', 16.0: 'FAIL', 16.5: 'FAIL', 17.0: 'FAIL', 17.5: 'FAIL', 18.0: 'FAIL', 18.5: 'FAIL', 19.0: 'FAIL', 19.5: 'FAIL', 20.0: 'FAIL'}"
GapFollowPurePursuit,Catalunya,11.5,58.627,"{3.0: 'FAIL 0.00s', 3.5: 'FAIL 0.00s', 4.0: 'FAIL 0.00s', 4.5: 'FAIL 0.00s', 5.0: 'FAIL 0.00s', 5.5: 'FAIL 0.00s', 6.0: 'FAIL 0.00s', 6.5: 'PASS 69.80s', 7.0: 'PASS 67.30s', 7.5: 'PASS 65.36s', 8.0: 'PASS 63.79s', 8.5: 'PASS 62.52s', 9.0: 'PASS 61.49s', 9.5: 'PASS 60.67s', 10.0: 'PASS 59.98s', 10.5: 'PASS 59.40s', 11.0: 'PASS 58.93s', 11.5: 'PASS 58.63s', 12.0: 'FAIL 0.00s', 12.5: 'FAIL 0.00s', 13.0: 'FAIL 0.00s', 13.5: 'FAIL 0.00s', 14.0: 'FAIL 0.00s', 14.5: 'FAIL 0.00s', 15.0: 'FAIL 0.00s', 15.5: 'FAIL 0.00s', 16.0: 'FAIL 0.00s', 16.5: 'FAIL 0.00s', 17.0: 'FAIL 0.00s', 17.5: 'FAIL 0.00s', 18.0: 'FAIL 0.00s', 18.5: 'FAIL 0.00s', 19.0: 'FAIL 0.00s', 19.5: 'FAIL 0.00s', 20.0: 'FAIL 0.00s'}","{3.0: 'FAIL', 3.5: 'FAIL', 4.0: 'FAIL', 4.5: 'FAIL', 5.0: 'FAIL', 5.5: 'FAIL', 6.0: 'FAIL', 6.5: 'PASS', 7.0: 'PASS', 7.5: 'PASS', 8.0: 'PASS', 8.5: 'PASS', 9.0: 'PASS', 9.5: 'PASS', 10.0: 'PASS', 10.5: 'PASS', 11.0: 'PASS', 11.5: 'PASS', 12.0: 'FAIL', 12.5: 'FAIL', 13.0: 'FAIL', 13.5: 'FAIL', 14.0: 'FAIL', 14.5: 'FAIL', 15.0: 'FAIL', 15.5: 'FAIL', 16.0: 'FAIL', 16.5: 'FAIL', 17.0: 'FAIL', 17.5: 'FAIL', 18.0: 'FAIL', 18.5: 'FAIL', 19.0: 'FAIL', 19.5: 'FAIL', 20.0: 'FAIL'}"
GapFollowPurePursuit,Hockenheim,11.0,50.003,"{3.0: 'FAIL 0.00s', 3.5: 'FAIL 0.00s', 4.0: 'FAIL 0.00s', 4.5: 'FAIL 0.00s', 5.0: 'FAIL 0.00s', 5.5: 'PASS 68.45s', 6.0: 'PASS 64.29s', 6.5: 'PASS 61.01s', 7.0: 'PASS 58.55s', 7.5: 'PASS 56.62s', 8.0: 'PASS 55.04s', 8.5: 'PASS 53.73s', 9.0: 'PASS 52.63s', 9.5: 'PASS 51.69s', 10.0: 'PASS 50.91s', 10.5: 'PASS 50.24s', 11.0: 'PASS 50.00s', 11.5: 'FAIL 0.00s', 12.0: 'FAIL 0.00s', 12.5: 'FAIL 0.00s', 13.0: 'FAIL 0.00s', 13.5: 'FAIL 0.00s', 14.0: 'FAIL 0.00s', 14.5: 'FAIL 0.00s', 15.0: 'FAIL 0.00s', 15.5: 'FAIL 0.00s', 16.0: 'FAIL 0.00s', 16.5: 'FAIL 0.00s', 17.0: 'FAIL 0.00s', 17.5: 'FAIL 0.00s', 18.0: 'FAIL 0.00s', 18.5: 'FAIL 0.00s', 19.0: 'FAIL 0.00s', 19.5: 'FAIL 0.00s', 20.0: 'FAIL 0.00s'}","{3.0: 'FAIL', 3.5: 'FAIL', 4.0: 'FAIL', 4.5: 'FAIL', 5.0: 'FAIL', 5.5: 'PASS', 6.0: 'PASS', 6.5: 'PASS', 7.0: 'PASS', 7.5: 'PASS', 8.0: 'PASS', 8.5: 'PASS', 9.0: 'PASS', 9.5: 'PASS', 10.0: 'PASS', 10.5: 'PASS', 11.0: 'PASS', 11.5: 'FAIL', 12.0: 'FAIL', 12.5: 'FAIL', 13.0: 'FAIL', 13.5: 'FAIL', 14.0: 'FAIL', 14.5: 'FAIL', 15.0: 'FAIL', 15.5: 'FAIL', 16.0: 'FAIL', 16.5: 'FAIL', 17.0: 'FAIL', 17.5: 'FAIL', 18.0: 'FAIL', 18.5: 'FAIL', 19.0: 'FAIL', 19.5: 'FAIL', 20.0: 'FAIL'}"
GapFollowPurePursuit,IMS,8.5,36.173,"{3.0: 'FAIL 0.00s', 3.5: 'FAIL 0.00s', 4.0: 'FAIL 0.00s', 4.5: 'PASS 64.72s', 5.0: 'PASS 58.27s', 5.5: 'PASS 53.00s', 6.0: 'PASS 48.62s', 6.5: 'PASS 44.92s', 7.0: 'PASS 41.82s', 7.5: 'PASS 39.50s', 8.0: 'PASS 37.65s', 8.5: 'PASS 36.17s', 9.0: 'FAIL 0.00s', 9.5: 'FAIL 0.00s', 10.0: 'FAIL 0.00s', 10.5: 'FAIL 0.00s', 11.0: 'FAIL 0.00s', 11.5: 'FAIL 0.00s', 12.0: 'FAIL 0.00s', 12.5: 'FAIL 0.00s', 13.0: 'FAIL 0.00s', 13.5: 'FAIL 0.00s', 14.0: 'FAIL 0.00s', 14.5: 'FAIL 0.00s', 15.0: 'FAIL 0.00s', 15.5: 'FAIL 0.00s', 16.0: 'FAIL 0.00s', 16.5: 'FAIL 0.00s', 17.0: 'FAIL 0.00s', 17.5: 'FAIL 0.00s', 18.0: 'FAIL 0.00s', 18.5: 'FAIL 0.00s', 19.0: 'FAIL 0.00s', 19.5: 'FAIL 0.00s', 20.0: 'FAIL 0.00s'}","{3.0: 'FAIL', 3.5: 'FAIL', 4.0: 'FAIL', 4.5: 'PASS', 5.0: 'PASS', 5.5: 'PASS', 6.0: 'PASS', 6.5: 'PASS', 7.0: 'PASS', 7.5: 'PASS', 8.0: 'PASS', 8.5: 'PASS', 9.0: 'FAIL', 9.5: 'FAIL', 10.0: 'FAIL', 10.5: 'FAIL', 11.0: 'FAIL', 11.5: 'FAIL', 12.0: 'FAIL', 12.5: 'FAIL', 13.0: 'FAIL', 13.5: 'FAIL', 14.0: 'FAIL', 14.5: 'FAIL', 15.0: 'FAIL', 15.5: 'FAIL', 16.0: 'FAIL', 16.5: 'FAIL', 17.0: 'FAIL', 17.5: 'FAIL', 18.0: 'FAIL', 18.5: 'FAIL', 19.0: 'FAIL', 19.5: 'FAIL', 20.0: 'FAIL'}"
GapFollowPurePursuit,Melbourne,11.0,60.557,"{3.0: 'FAIL 0.00s', 3.5: 'FAIL 0.00s', 4.0: 'FAIL 0.00s', 4.5: 'FAIL 0.00s', 5.0: 'FAIL 0.00s', 5.5: 'FAIL 0.00s', 6.0: 'FAIL 0.00s', 6.5: 'FAIL 0.00s', 7.0: 'FAIL 0.00s', 7.5: 'FAIL 0.00s', 8.0: 'PASS 67.75s', 8.5: 'PASS 65.87s', 9.0: 'PASS 64.30s', 9.5: 'PASS 62.99s', 10.0: 'PASS 61.92s', 10.5: 'PASS 61.08s', 11.0: 'PASS 60.56s', 11.5: 'FAIL 0.00s', 12.0: 'FAIL 0.00s', 12.5: 'FAIL 0.00s', 13.0: 'FAIL 0.00s', 13.5: 'FAIL 0.00s', 14.0: 'FAIL 0.00s', 14.5: 'FAIL 0.00s', 15.0: 'FAIL 0.00s', 15.5: 'FAIL 0.00s', 16.0: 'FAIL 0.00s', 16.5: 'FAIL 0.00s', 17.0: 'FAIL 0.00s', 17.5: 'FAIL 0.00s', 18.0: 'FAIL 0.00s', 18.5: 'FAIL 0.00s', 19.0: 'FAIL 0.00s', 19.5: 'FAIL 0.00s', 20.0: 'FAIL 0.00s'}","{3.0: 'FAIL', 3.5: 'FAIL', 4.0: 'FAIL', 4.5: 'FAIL', 5.0: 'FAIL', 5.5: 'FAIL', 6.0: 'FAIL', 6.5: 'FAIL', 7.0: 'FAIL', 7.5: 'FAIL', 8.0: 'PASS', 8.5: 'PASS', 9.0: 'PASS', 9.5: 'PASS', 10.0: 'PASS', 10.5: 'PASS', 11.0: 'PASS', 11.5: 'FAIL', 12.0: 'FAIL', 12.5: 'FAIL', 13.0: 'FAIL', 13.5: 'FAIL', 14.0: 'FAIL', 14.5: 'FAIL', 15.0: 'FAIL', 15.5: 'FAIL', 16.0: 'FAIL', 16.5: 'FAIL', 17.0: 'FAIL', 17.5: 'FAIL', 18.0: 'FAIL', 18.5: 'FAIL', 19.0: 'FAIL', 19.5: 'FAIL', 20.0: 'FAIL'}"
GapFollowPurePursuit,MexicoCity,10.0,50.540,"{3.0: 'FAIL 0.00s', 3.5: 'FAIL 0.00s', 4.0: 'FAIL 0.00s', 4.5: 'FAIL 0.00s', 5.0: 'FAIL 0.00s', 5.5: 'PASS 67.81s', 6.0: 'PASS 63.76s', 6.5: 'PASS 60.58s', 7.0: 'PASS 58.16s', 7.5: 'PASS 56.24s', 8.0: 'PASS 54.65s', 8.5: 'PASS 53.34s', 9.0: 'PASS 52.25s', 9.5: 'PASS 51.33s', 10.0: 'PASS 50.54s', 10.5: 'FAIL 0.00s', 11.0: 'FAIL 0.00s', 11.5: 'FAIL 0.00s', 12.0: 'FAIL 0.00s', 12.5: 'FAIL 0.00s', 13.0: 'FAIL 0.00s', 13.5: 'FAIL 0.00s', 14.0: 'FAIL 0.00s', 14.5: 'FAIL 0.00s', 15.0: 'FAIL 0.00s', 15.5: 'FAIL 0.00s', 16.0: 'FAIL 0.00s', 16.5: 'FAIL 0.00s', 17.0: 'FAIL 0.00s', 17.5: 'FAIL 0.00s', 18.0: 'FAIL 0.00s', 18.5: 'FAIL 0.00s', 19.0: 'FAIL 0.00s', 19.5: 'FAIL 0.00s', 20.0: 'FAIL 0.00s'}","{3.0: 'FAIL', 3.5: 'FAIL', 4.0: 'FAIL', 4.5: 'FAIL', 5.0: 'FAIL', 5.5: 'PASS', 6.0: 'PASS', 6.5: 'PASS', 7.0: 'PASS', 7.5: 'PASS', 8.0: 'PASS', 8.5: 'PASS', 9.0: 'PASS', 9.5: 'PASS', 10.0: 'PASS', 10.5: 'FAIL', 11.0: 'FAIL', 11.5: 'FAIL', 12.0: 'FAIL', 12.5: 'FAIL', 13.0: 'FAIL', 13.5: 'FAIL', 14.0: 'FAIL', 14.5: 'FAIL', 15.0: 'FAIL', 15.5: 'FAIL', 16.0: 'FAIL', 16.5: 'FAIL', 17.0: 'FAIL', 17.5: 'FAIL', 18.0: 'FAIL', 18.5: 'FAIL', 19.0: 'FAIL', 19.5: 'FAIL', 20.0: 'FAIL'}"
GapFollowPurePursuit,Monza,7.0,65.623,"{3.0: 'FAIL 0.00s', 3.5: 'FAIL 0.00s', 4.0: 'FAIL 0.00s', 4.5: 'FAIL 0.00s', 5.0: 'FAIL 0.00s', 5.5: 'FAIL 0.00s', 6.0: 'FAIL 0.00s', 6.5: 'FAIL 0.00s', 7.0: 'PASS 65.62s', 7.5: 'FAIL 0.00s', 8.0: 'FAIL 0.00s', 8.5: 'FAIL 0.00s', 9.0: 'FAIL 0.00s', 9.5: 'FAIL 0.00s', 10.0: 'FAIL 0.00s', 10.5: 'FAIL 0.00s', 11.0: 'FAIL 0.00s', 11.5: 'FAIL 0.00s', 12.0: 'FAIL 0.00s', 12.5: 'FAIL 0.00s', 13.0: 'FAIL 0.00s', 13.5: 'FAIL 0.00s', 14.0: 'FAIL 0.00s', 14.5: 'FAIL 0.00s', 15.0: 'FAIL 0.00s', 15.5: 'FAIL 0.00s', 16.0: 'FAIL 0.00s', 16.5: 'FAIL 0.00s', 17.0: 'FAIL 0.00s', 17.5: 'FAIL 0.00s', 18.0: 'FAIL 0.00s', 18.5: 'FAIL 0.00s', 19.0: 'FAIL 0.00s', 19.5: 'FAIL 0.00s', 20.0: 'FAIL 0.00s'}","{3.0: 'FAIL', 3.5: 'FAIL', 4.0: 'FAIL', 4.5: 'FAIL', 5.0: 'FAIL', 5.5: 'FAIL', 6.0: 'FAIL', 6.5: 'FAIL', 7.0: 'PASS', 7.5: 'FAIL', 8.0: 'FAIL', 8.5: 'FAIL', 9.0: 'FAIL', 9.5: 'FAIL', 10.0: 'FAIL', 10.5: 'FAIL', 11.0: 'FAIL', 11.5: 'FAIL', 12.0: 'FAIL', 12.5: 'FAIL', 13.0: 'FAIL', 13.5: 'FAIL', 14.0: 'FAIL', 14.5: 'FAIL', 15.0: 'FAIL', 15.5: 'FAIL', 16.0: 'FAIL', 16.5: 'FAIL', 17.0: 'FAIL', 17.5: 'FAIL', 18.0: 'FAIL', 18.5: 'FAIL', 19.0: 'FAIL', 19.5: 'FAIL', 20.0: 'FAIL'}"
GapFollowPurePursuit,MoscowRaceway,13.0,50.150,"{3.0: 'FAIL 0.00s', 3.5: 'FAIL 0.00s', 4.0: 'FAIL 0.00s', 4.5: 'FAIL 0.00s', 5.0: 'PASS 67.45s', 5.5: 'PASS 63.43s', 6.0: 'PASS 60.28s', 6.5: 'PASS 57.88s', 7.0: 'PASS 56.15s', 7.5: 'PASS 54.81s', 8.0: 'PASS 53.74s', 8.5: 'PASS 52.86s', 9.0: 'PASS 52.13s', 9.5: 'PASS 51.50s', 10.0: 'PASS 50.97s', 10.5: 'PASS 50.53s', 11.0: 'PASS 50.23s', 11.5: 'PASS 49.93s', 12.0: 'PASS 49.76s', 12.5: 'FAIL 0.00s', 13.0: 'PASS 50.15s', 13.5: 'FAIL 0.00s', 14.0: 'FAIL 0.00s', 14.5: 'FAIL 0.00s', 15.0: 'FAIL 0.00s', 15.5: 'FAIL 0.00s', 16.0: 'FAIL 0.00s', 16.5: 'FAIL 0.00s', 17.0: 'FAIL 0.00s', 17.5: 'FAIL 0.00s', 18.0: 'FAIL 0.00s', 18.5: 'FAIL 0.00s', 19.0: 'FAIL 0.00s', 19.5: 'FAIL 0.00s', 20.0: 'FAIL 0.00s'}","{3.0: 'FAIL', 3.5: 'FAIL', 4.0: 'FAIL', 4.5: 'FAIL', 5.0: 'PASS', 5.5: 'PASS', 6.0: 'PASS', 6.5: 'PASS', 7.0: 'PASS', 7.5: 'PASS', 8.0: 'PASS', 8.5: 'PASS', 9.0: 'PASS', 9.5: 'PASS', 10.0: 'PASS', 10.5: 'PASS', 11.0: 'PASS', 11.5: 'PASS', 12.0: 'PASS', 12.5: 'FAIL', 13.0: 'PASS', 13.5: 'FAIL', 14.0: 'FAIL', 14.5: 'FAIL', 15.0: 'FAIL', 15.5: 'FAIL', 16.0: 'FAIL', 16.5: 'FAIL', 17.0: 'FAIL', 17.5: 'FAIL', 18.0: 'FAIL', 18.5: 'FAIL', 19.0: 'FAIL', 19.5: 'FAIL', 20.0: 'FAIL'}"
